Day,Time,Supplier,Value
8,8,2,3.173305989
8,8,3,119.821439793
8,8,4,0
8,8,5,0
8,8,6,0
8,9,1,3.682270443
8,9,2,3.173305989
8,9,3,119.821439793
8,9,4,0
8,9,5,0
8,9,6,0
8,10,1,3.682270443
8,10,2,3.173305989
8,10,3,119.821439793
8,10,4,0
8,10,5,0
8,10,6,0
8,11,1,3.682270443
8,11,2,293.91567958
8,11,3,119.821439793
8,11,4,0
8,11,5,0
8,11,6,0
8,12,1,3.682270443
8,12,2,806.91567958
8,12,3,119.821439793
8,12,4,0
8,12,5,0
8,12,6,0
8,13,1,3.682270443
8,13,2,1336.461711662
8,13,3,119.821439793
8,13,4,0
8,13,5,0
8,13,6,0
8,14,1,3.682270443
8,14,2,1336.461711662
8,14,3,119.821439793
8,14,4,0
8,14,5,0
8,14,6,0
8,15,1,3.682270443
8,15,2,1336.461711662
8,15,3,119.821439793
8,15,4,0
8,15,5,0
8,15,6,0
8,16,1,3.682270443
8,16,2,1336.461711662
8,16,3,119.821439793
8,16,4,0
8,16,5,0
8,16,6,0
8,17,1,3.682270443
8,17,2,1336.461711662
8,17,3,632.821439793
8,17,4,0
8,17,5,0
8,17,6,0
8,18,1,3.682270443
8,18,2,1937.707940986
8,18,3,632.821439793
8,18,4,0
8,18,5,0
8,18,6,0
8,19,1,271.614692601
8,19,2,1937.707940986
8,19,3,632.821439793
8,19,4,0
8,19,5,0
8,19,6,0
8,20,1,271.614692601
8,20,2,1937.707940986
8,20,3,632.821439793
8,20,4,0
8,20,5,0
8,20,6,0
8,21,1,271.614692601
8,21,2,1937.707940986
8,21,3,632.821439793
8,21,4,0
8,21,5,0
8,21,6,0
8,22,1,271.614692601
8,22,2,1937.707940986
8,22,3,632.821439793
8,22,4,0
8,22,5,0
8,22,6,0
8,23,1,271.614692601
8,23,2,2140.486848518
8,23,3,632.821439793
8,23,4,0
8,23,5,0
8,23,6,0
8,24,1,271.614692601
8,24,2,2140.486848518
8,24,3,632.821439793
8,24,4,0
8,24,5,0
8,24,6,0
9,1,1,271.614692601
9,1,2,2140.486848518
9,1,3,632.821439793
9,1,4,0
9,1,5,0
9,1,6,0
9,2,1,814.526963011
9,2,2,2140.486848518
9,2,3,632.821439793
9,2,4,0
9,2,5,0
9,2,6,0
9,3,1,814.526963011
9,3,2,2140.486848518
9,3,3,632.821439793
9,3,4,0
9,3,5,0
9,3,6,0
9,4,1,814.526963011
9,4,2,2290.353034728
9,4,3,632.821439793
9,4,4,0
9,4,5,0
9,4,6,0
9,5,1,814.526963011
9,5,2,2290.353034728
9,5,3,632.821439793
9,5,4,0
9,5,5,0
9,5,6,0
9,6,1,814.526963011
9,6,2,2290.353034728
9,6,3,632.821439793
9,6,4,0
9,6,5,0
9,6,6,0
9,7,1,814.526963011
9,7,2,2290.353034728
9,7,3,632.821439793
9,7,4,0
9,7,5,0
9,7,6,0
9,8,1,814.526963011
9,8,2,2290.353034728
9,8,3,632.821439793
9,8,4,0
9,8,5,0
9,8,6,0
9,9,1,814.526963011
9,9,2,2500.641043022
9,9,3,632.821439793
9,9,4,0
9,9,5,0
9,9,6,0
9,10,1,814.526963011
9,10,2,3013.641043022
9,10,3,632.821439793
9,10,4,0
9,10,5,0
9,10,6,0
9,11,1,814.526963011
9,11,2,3013.641043022
9,11,3,632.821439793
9,11,4,0
9,11,5,0
9,11,6,0
9,12,1,814.526963011
9,12,2,3013.641043022
9,12,3,632.821439793
9,12,4,0
9,12,5,0
9,12,6,0
9,13,1,814.526963011
9,13,2,3501.095272357
9,13,3,632.821439793
9,13,4,0
9,13,5,0
9,13,6,0
9,14,1,814.526963011
9,14,2,3501.095272357
9,14,3,632.821439793
9,14,4,0
9,14,5,0
9,14,6,0
9,15,1,814.526963011
9,15,2,3501.095272357
9,15,3,632.821439793
9,15,4,0
9,15,5,0
9,15,6,0
9,16,1,814.526963011
9,16,2,3501.095272357
9,16,3,632.821439793
9,16,4,0
9,16,5,0
9,16,6,0
9,17,1,814.526963011
9,17,2,3501.095272357
9,17,3,632.821439793
9,17,4,0
9,17,5,0
9,17,6,0
9,18,1,814.526963011
9,18,2,3501.095272357
9,18,3,632.821439793
9,18,4,0
9,18,5,0
9,18,6,0
9,19,1,1184.520120892
9,19,2,3501.095272357
9,19,3,632.821439793
9,19,4,0
9,19,5,0
9,19,6,0
9,20,1,1184.520120892
9,20,2,3955.648407
9,20,3,632.821439793
9,20,4,0
9,20,5,0
9,20,6,0
9,21,1,1740.499106247
9,21,2,3955.648407
9,21,3,632.821439793
9,21,4,0
9,21,5,0
9,21,6,0
9,22,1,1945.12119875
9,22,2,3955.648407
9,22,3,632.821439793
9,22,4,0
9,22,5,0
9,22,6,0
9,23,1,1945.12119875
9,23,2,4162.960538206
9,23,3,632.821439793
9,23,4,0
9,23,5,0
9,23,6,0
9,24,1,1945.12119875
9,24,2,4162.960538206
9,24,3,632.821439793
9,24,4,0
9,24,5,0
9,24,6,0
10,1,1,1949.77721256
10,1,2,4162.960538206
10,1,3,632.821439793
10,1,4,0
10,1,5,0
10,1,6,0
10,2,1,1951.227366616
10,2,2,4162.960538206
10,2,3,632.821439793
10,2,4,0
10,2,5,0
10,2,6,0
10,3,1,1964.042007547
10,3,2,4162.960538206
10,3,3,632.821439793
10,3,4,0
10,3,5,0
10,3,6,0
10,4,1,1964.042007547
10,4,2,4162.960538206
10,4,3,632.821439793
10,4,4,0
10,4,5,0
10,4,6,0
10,5,1,1964.399793627
10,5,2,4162.960538206
10,5,3,632.821439793
10,5,4,0
10,5,5,0
10,5,6,0
10,6,1,1964.399793627
10,6,2,4162.960538206
10,6,3,632.821439793
10,6,4,0
10,6,5,0
10,6,6,0
10,7,1,1964.399793627
10,7,2,4162.960538206
10,7,3,632.821439793
10,7,4,0
10,7,5,0
10,7,6,0
10,8,1,1964.399793627
10,8,2,4163.227573198
10,8,3,632.821439793
10,8,4,0
10,8,5,0
10,8,6,0
10,9,1,2914.399793627
10,9,2,4315.227573198
10,9,3,1582.821439793
